Stage 1: Impact of Synchrony on Functional Connectivity Inference ,,,,,,,"(ge,gi) =(40,80)",,,,,
,,,,,,,,,,,,
run #,a,b,asynchronous,m_freq,m_corr,m_cv,AUC,Full Analytics,Plots Saved,Plots Good,MostActive,comments
1,28,21,TRUE,26.7,0.06,1.8,0.729,runs/01,TRUE,FALSE,TRUE,
2,28,21,TRUE,38,0.07,1.6,0.698,runs/02,TRUE,FALSE,TRUE,
3,28,21,TRUE,37.7,0.09,1.7,0.716,runs/03,TRUE,FALSE,TRUE,looks good
4,28,21,TRUE,49.1,0.08,1.8,0.728,runs/04,TRUE,TRUE,TRUE,
5,28,21,TRUE,42.1,0.08,1.8,0.714,runs/05,TRUE,TRUE,TRUE,
6,28,21,TRUE,45.9,0.1,1.7,0.724,runs/06,TRUE,TRUE,TRUE,looks good
7,28,21,TRUE,30.3,0.09,1.7,0.653,runs/07,TRUE,TRUE,TRUE,
8,28,21,TRUE,40.3,0.07,1.4,0.587,runs/08,TRUE,TRUE,TRUE,
9,28,21,TRUE,48.1,0.09,1.8,0.744,runs/09,TRUE,TRUE,TRUE,looks good
10,28,21,TRUE,31.9,0.08,2.1,0.651,runs/10,TRUE,TRUE,TRUE,
11,5,14,FALSE,95.8,0.14,0.8,0.892,runs/11,TRUE,TRUE,TRUE,
12,5,14,FALSE,92.3,0.13,0.5,0.68,runs/12,TRUE,TRUE,TRUE,
13,5,14,FALSE,58.4,0.13,1.6,0.571,runs/13,TRUE,TRUE,TRUE,
14,5,14,FALSE,76.3,0.04,0.1,0.589,runs/14,TRUE,FALSE,TRUE,
15,5,14,FALSE,112.2,0.18,0.5,0.661,runs/15,TRUE,TRUE,TRUE,
16,5,14,FALSE,75.8,0.27,2.3,0.851,runs/16,TRUE,TRUE,FALSE,not many active
17,5,14,FALSE,78.1,0.11,1.1,0.713,runs/17,TRUE,TRUE,TRUE,
18,5,14,FALSE,59.3,0,0,0.703,runs/18,TRUE,TRUE,FALSE,not many active
19,5,14,FALSE,104,0.18,0.6,0.623,runs/19,TRUE,TRUE,TRUE,looks good
20,5,14,FALSE,129.7,0.23,0.2,0.803,runs/20,TRUE,TRUE,TRUE,
21,5,14,FALSE,100.6,0.13,0.5,0.588,runs/21,TRUE,TRUE,TRUE,looks great
22,5,14,FALSE,120.1,0.2,0.4,0.852,runs/22,TRUE,TRUE,TRUE,